,5.07,-0.8,1.8,0.36,-0.35,0.25,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,5.07_zscore,-0.8_zscore,1.8_zscore,0.36_zscore,-0.35_zscore,0.25_zscore
337,1.29,0.91,-0.47,-1.7,-0.23,0.42,392.46,12.251,17.20333333,0.434003454,0.0499,0.0855,0.0949,0.0791,0.025218487,0.004158333,0.001457726,0.0054,0.0043,0.001125638,-0.002187142,0.013458,0.011899,0.1718185582144688,0.22559654504340207,-0.2758230875559228,-0.8970761978562616,-0.25759421923944736,0.1558014972454902
338,-4.19,-0.83,-1.89,1.11,0.01,0.39,375.22,12.227,16.58666667,0.46015449,0.0456,0.0848,0.0945,0.0789,0.030383515,0.0038,0.002911208,0.0082,0.0106,0.002049026,-0.001427475,-0.040214,-0.043973,-1.0767561456466779,-0.3522056980526267,-0.7823817816071232,0.39315728090157714,-0.13604552910360132,0.04226738426889888
339,10.84,-2.4,-4.17,3.55,-3.12,0.38,417.09,12.203,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.031537729,0.003391667,0.000725689,0.0581,0.0436,0.002049522,-0.001253216,0.114089,0.111476,2.3477106060016855,-0.8735559978576641,-1.5957295438865156,1.5135023656592732,-1.7212430296252603,0.004422679943368378
340,-0.59,9.18,4.71,-1.32,3.2,0.34,408.79,12.24333333,16.04333333,0.413229678,0.038,0.082,0.0913,0.0776,0.031664925,0.003166667,0.001450326,-0.0324,-0.0173,0.000872455,-0.001272377,-0.018348,-0.019654,-0.2565245883656326,2.9718175510228027,1.5720459513069067,-0.7225962256398991,1.4795391439520191,-0.14695613735875343
341,1.09,1.33,6.47,0.08,2.19,0.28,412.7,12.28366667,16.11666667,0.407630525,0.0384,0.0829,0.0923,0.0777,0.033284242,0.0032,0.003620565,0.0051,0.0096,0.000913236,-0.001330752,0.012865,0.009442,0.12625013836552185,0.3650660519976159,2.199893346750648,-0.07977527536908974,0.9680217396303336,-0.3740243633119362
342,-2.66,-0.93,3.56,-0.01,1.95,0.34,403.69,12.324,16.19,0.402106034,0.0404,0.0835,0.0925,0.0797,0.041628264,0.003366667,0.005050505,-0.0094,-0.0073,0.00046976,-0.001250872,-0.01947,-0.021873,-0.7281577338022336,-0.3854127235179157,1.1618047554203714,-0.12109947931507035,0.8464730494944875,-0.14695613735875343
343,1.07,-5.7,4.34,1.69,2.23,0.32,414.95,12.32266667,16.47666667,0.387303472,0.0375,0.0833,0.0921,0.0803,0.038393921,0.003125,0.00143575,0.0016,0.0016,0.001661052,-0.001503195,0.028614,0.027157,0.12169329638062715,-1.9693878382122014,1.4400553056738474,0.6594688174423409,0.9882798546529746,-0.22264554600981443
344,0.3,0.21,1.19,-0.95,0.48,0.28,415.35,12.32133333,16.76333333,0.382998516,0.0363,0.0828,0.0913,0.0781,0.037081355,0.003025,0.001433692,0.0243,0.0254,0.000690033,-0.001587793,0.00485,0.001087,-0.05374512003781865,-0.006852633213621029,0.3163511604194241,-0.5527078316397566,0.10198732241243051,-0.3740243633119362
345,-2.34,-2.73,3.24,-0.05,1.01,0.32,408.14,12.32,17.05,0.392042354,0.0366,0.0822,0.0905,0.0765,0.042936625,0.00305,0.003579098,0.02,0.0156,0.000752919,-0.001273507,-0.01503,-0.017545,-0.6552482620439184,-0.9831391818931179,1.0476506835215094,-0.13946579217995062,0.3704073464624239,-0.22264554600981443
346,3.77,-0.62,-0.56,1.3,-0.91,0.31,424.21,12.345,17.38,0.3833487,0.0321,0.0807,0.0884,0.0726,0.041361011,0.002675,0.0021398,0.0398,0.0308,0.00089748,-0.001363662,0.040924,0.039465,0.7368669643414111,-0.2824709445755198,-0.30792892027747776,0.4803972670097584,-0.6019821746243444,-0.26049025033534495
347,-2.38,-0.42,-1.1,3.72,-1.65,0.26,414.03,12.37,17.71,0.399405037,0.0313,0.0795,0.0865,0.0725,0.042827463,0.002608333,0.002846975,0.0067,0.009,0.000369559,-0.001431469,-0.020615,-0.024214,-0.6643619460137078,-0.21605689364494177,-0.5005639166068075,1.5915591953350146,-0.9767573025432031,-0.4497137719629973
348,1.19,0.48,-0.26,1.64,-0.59,0.26,417.8,12.395,18.04,0.397656972,0.0291,0.0792,0.0862,0.071,0.041134984,0.002425,0.002838893,0.0185,0.0099,0.000872212,-0.001076155,0.01134,0.008916,0.1490343482899953,0.08280633554265929,-0.20090947787229457,0.6365109263612406,-0.43991725444321644,-0.4497137719629973
