,target
546,0.1018
547,0.0521
548,0.0043
549,0.0771999999999999
550,0.0333
551,0.0408
552,-0.0259
553,0.0556
554,0.0275
555,-0.0336
556,0.034
557,0.0630999999999999
558,0.02
559,-0.0789
560,-0.0557
561,0.0693
562,-0.0476999999999999
563,0.0953999999999999
564,0.0388
565,0.006
566,0.0682
567,0.0199
568,0.0349
569,0.0046
570,0.0289999999999999
571,-0.0127
572,-0.0175
573,-0.0235
574,-0.0599
575,-0.0759
576,0.1134999999999999
577,-0.0028
578,0.0074
579,0.0504999999999999
580,0.0441999999999999
581,0.0311
582,-0.0085
583,-0.0619
584,0.0389
585,0.0079
586,0.0255
587,0.0273
588,-0.0176
589,0.0078
590,0.0118
591,0.0557
592,0.0129
593,0.0403
594,0.0155
595,0.0279999999999999
596,-0.012
597,0.0565
598,-0.0271
599,0.0377
600,0.0418
601,0.0313
602,0.0281
603,-0.0332
604,0.0465
605,0.0043
606,-0.0019
607,0.0206
608,0.0260999999999999
609,-0.0204
610,0.0424
611,-0.0197
612,0.0252
613,0.0255
614,-0.0006
615,-0.0311
616,0.0613
617,-0.0112
618,0.0059
619,0.0136
620,-0.0153
621,0.0154
622,-0.0604
623,-0.0306999999999999
624,0.0775
625,0.0056
626,-0.0217
627,-0.0576999999999999
628,-0.0007
629,0.0696
630,0.0091
631,0.0178
632,-0.0005
633,0.0395
634,0.0049
635,0.0025
636,-0.0202
637,0.0486
638,0.0181
639,0.0194
640,0.0356999999999999
641,0.0017
642,0.0109
643,0.0106
644,0.0078
645,0.0187
646,0.0016
647,0.0250999999999999
648,0.0225
649,0.0312
650,0.0106
651,0.0557
652,-0.0365
653,-0.0235
654,0.0028
655,0.0265
656,0.0048
657,0.0319
658,0.0344
659,0.0006
660,-0.0768
661,0.0169
662,-0.0957
663,0.084
664,0.034
665,0.011
666,0.0397
667,-0.0694
668,0.0693
669,0.0118999999999999
670,-0.0258
671,0.0143
672,0.0206
673,0.0387
674,0.0277
