PC1,PC2,Ticker,Cluster
-1.3794776510881301,-0.0026396306770718457,ALLY,0
-2.0539911177352774,-0.031475281561939315,BGT,0
2.7781045409590406,0.08290821587132283,XOM,3
2.8092256733377683,0.04861435778567444,TNH,3
6.081315254860088,0.5794399036759632,URI,3
-1.155124131172671,-0.027737675211286457,TDI,0
-1.7194262307998525,-0.010733176522117048,APTS,0
2.7206168579161063,0.031230942216866717,EXR,3
-2.7315315013005312,-0.02416528852744372,SN,0
-1.218930527385918,-0.018397594710174128,HQH,0
1.3047050871294892,-0.12290322825615668,PF,0
5.3190989548329926,-0.2426336715250046,COR,3
-2.798918853061461,-0.0197312828568287,NDRO,0
-2.904320664284265,-0.03470381800026593,ECT,0
6.966270600827384,0.042004823468705495,RGA,3
-1.1949812738451995,-0.03796854328276815,TCRX,0
-2.825432089641903,0.006275965751752942,HOS,0
-1.7189820775279894,-0.049215729351081886,PGZ,0
-1.9528056264229168,-0.03737638165419811,BFO,0
-2.005232633941135,-0.025425188395033327,ACP,0
0.5679802978380187,0.08467094150032738,RGR,0
-2.4549315219590384,-0.016527060675751354,JMLP,0
-2.358859534053481,-0.04170138721914014,TI,0
-2.0308162763664135,-0.03759340225802134,AFB,0
-2.9601884677099495,-0.03859673546577635,ZX,0
-2.6141377918857107,-0.03532862150383829,ASX,0
-1.4669352883535052,-0.014181455098825211,NSH,0
-2.4118368286560936,-0.03207945577587701,KMM,0
-2.062353333952434,-0.03419102136527922,NMZ,0
-2.6543768361651727,-0.023209395151360942,GCV,0
-1.8319157531660488,0.005329727138838275,TG,0
-1.977248236292898,-0.02898849859681186,BYM,0
-2.1129647645104233,-0.04013140218673328,KTF,0
2.4970262795420797,-0.06893776600284991,ALK,3
-1.7332992296401677,-0.021692291680903076,ING,0
-2.0187707781136037,-0.035772686229073244,MMU,0
-2.6343479497491478,-0.02762095883763164,ENIC,0
-2.597210553042567,-0.030014407833555443,GCAP,0
-1.9727594293034802,-0.0499413576022295,MFT,0
-1.8256692758726172,-0.05723209700887824,COTY,0
-1.8241263960942118,-0.02966012930284637,FSD,0
-2.8128019732675993,0.008335168786983913,BBG,0
5.843238225309979,0.21450466102424104,CEO,3
-1.2084397499121935,-0.03533511718056084,KAP,0
-1.937407071257302,-0.028501807422493846,HYI,0
55.39712501944223,-1.9434160178359767,AGN-PA,2
-1.6684409983929793,0.024232953524268536,MYE,0
-1.9032524607020893,-0.041092759379911886,MQY,0
-1.4637621750903225,-0.010792131164592267,GDV,0
3.834615033183208,0.23685172708145508,LYB,3
-2.587715495613772,0.0030160499665384064,MDR,0
-0.9338843582093157,0.02104531972210073,HMC,0
3.327195450553475,0.18648860000516962,PSX,3
-1.1609069412487183,-0.022190626744245528,PKO,0
1.700557259190249,0.0529991095327025,AME,0
0.04785087605416022,-0.061423692673825324,BHP,0
-0.19431974330962667,-0.04212689101431204,GLOB,0
0.05583192558246164,0.18016270279721763,GNRC,0
1.7677674260178742,0.034992483427655055,TSN,0
-0.29361664506246804,0.048167055374406825,EBS,0
-2.5869006727172668,-0.030789883540901695,AWP,0
-1.9415697592928765,0.06680796252677032,SOI,0
-1.9992148835632257,-0.03601951255063852,NMT,0
-1.2099686741185887,-0.032304616130624,EAB,0
-2.1640359715381186,-0.026004916115311746,PNI,0
1.4400597236946422,0.09440013732927685,BMY,0
-2.7413999351865805,-0.07130155403619431,VSLR,0
-1.4011034757376075,-0.0029758144029276286,CNO,0
-0.9812760958008434,0.008854254789317508,OMI,0
-2.9109259797103837,-0.03487845911313848,LEE,0
20.008075505173853,0.02619364809726652,CMG,3
-2.0050275727221463,-0.03786221084629127,EVG,0
16.240765135053476,-0.4177143152789337,ESS,3
-1.925907929213222,-0.03247425369840129,NPN,0
-1.188878804504853,-0.033537742660308546,MFO,0
-1.4925726661535528,0.047315079316482614,KRO,0
-2.306272076368291,-0.02799601527942863,WMC,0
-2.4169803078398178,-0.030751932868235042,PCF,0
-2.106240404626691,-0.02096117647424663,TPH,0
-2.091410687662382,-0.04038270628557145,VMO,0
1.1460993622851428,-0.049209804318774995,MCY,0
-2.5638641826162645,-0.016439224588487712,RBS,0
-2.180486003694784,-0.007226124137686621,CLS,0
0.36974602859069833,0.03900889254466908,MS,0
-2.716129476773653,-0.04451145832975915,ANW,0
-2.6472946661194587,-0.03290740381773395,JE,0
7.47619218105831,-0.27105857521022664,AMT,3
0.000955810117559275,0.10127272087747052,ITT,0
-1.0983127002390383,-0.029323636890980744,CTAA,0
-2.141455651059026,-0.026696353667331113,ZF,0
-2.197324390220639,-0.035312314666868384,PHD,0
1.9551813809543181,-0.24092856740341756,SAIC,0
-1.2257846171424767,0.05482286998359906,ATU,0
-1.5138731284011995,0.004763822892847409,WNC,0
-1.9406005218323812,-0.0011485108245198165,IDE,0
-1.9162702055147458,0.02870097349620459,GES,0
2.6225790785683274,0.05853982992754626,PRI,3
-0.8562009453083046,-0.04497642040935844,GMED,0
1.451863756955408,-0.08293316561638252,SHI,0
-1.3673797355725767,0.008874502017986409,DSX-PB,0
-2.6314329297291703,-0.029864612428434033,KFS,0
-1.9110423103273038,-0.042116022285239765,NXC,0
-2.2937986862492457,-0.05082396195212028,CSTM,0
7.465237263244581,-0.051650759425721095,CB,3
-2.3189870022365655,-0.03268314460788945,EHT,0
-2.3084962102940563,-0.03369394879277586,NUV,0
1.7158487412138104,0.18044039572995405,WTS,0
-1.1949811975445763,-0.0347615221232897,CTBB,0
-2.240896611601873,-0.02521809682641189,LOR,0
-0.19089796659799943,0.0436353767269795,SWM,0
-1.082728174623852,0.07928294191480083,TDW,0
3.4197754390510857,0.028392454746284813,NVRO,3
0.09318315096623678,-0.0010450895518186495,LAZ,0
3.278112395489663,0.06520174822024843,CM,3
0.17592297542042676,-0.07772043238473426,WMK,0
-2.1018516376134078,-0.022471584964994556,NFJ,0
-2.251928111632402,-0.009169634361263152,ECOM,0
-1.697541023869571,-0.01200440097676807,FDEU,0
-1.7261915105935606,-0.02311931692999406,HT,0
-0.19327552128769313,0.0239632889891076,MTRN,0
-2.109082810831006,-0.0348983397743694,EVN,0
-1.991543803539907,-0.019265261750444105,ARA,0
